Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
CLX,16100000000.000002,0.0378,0.1226,11.7627,0.2451,0.74,0.44,103.89,109.04,0.45030000000000003,0.1547,0.0989,May 05/a,130.6,-0.0023,524749.0
CM,64150000000.00001,0.040999999999999995,0.0074,0.1323,0.06,0.29,,1.08,3.51,,0.14550000000000002,0.1134,May 29/b,68.24,0.019299999999999998,426473.0
CMCSA,129220000000.0,0.0381,0.0591,0.1857,0.08779999999999999,0.65,0.65,1.07,1.14,0.5814,0.1873,0.1272,Apr 24/b,34.61,0.0006,5307671.0
CME,102730000000.0,0.039,0.025,0.134,0.1164,,,0.14,0.14,0.8268000000000001,0.6492,0.5699000000000001,Apr 23/b,285.08,0.0109,906967.0
CMG,68140000000.0,,0.1789,0.4557,0.19920000000000002,1.52,1.48,1.25,1.33,0.23420000000000002,0.1766,0.1359,Apr 23/a,50.58,-0.004,4355091.0
CMS,20820000000.0,0.031400000000000004,0.0291,0.1253,0.041100000000000005,1.06,0.84,1.95,2.04,0.2643,0.20149999999999998,0.1297,Apr 24/b,69.61,0.0037,685092.0
CNC,27940000000.0,0.0223,0.0407,0.1259,0.0747,1.11,,0.66,0.66,,0.021400000000000002,0.0204,Apr 25/b,56.14,-0.0332,2771217.0
CNH,15990000000.0,0.03,0.023799999999999998,0.1326,0.0308,7.58,6.31,3.32,3.35,0.3264,0.1902,0.0553,May 01/b,12.8,-0.0123,10464771.0
CNI,66280000000.0,0.023700000000000002,0.0815,0.2181,0.11380000000000001,0.62,0.43,0.89,0.98,0.4329,0.3715,0.262,May 01/a,105.62,-0.005600000000000001,436615.0
CNM,10470000000.0,,0.0751,0.261,0.0999,2.34,1.29,1.42,1.48,0.2415,0.0981,0.0552,Mar 25/b,53.06,-0.0032,263781.0
CNP,24440000000.0,0.0231,0.022799999999999997,0.0922,0.0308,0.93,0.79,1.86,2.09,0.28850000000000003,0.2262,0.10800000000000001,Apr 24/b,37.44,0.008199999999999999,924627.0
CNQ,64910000000.0,0.0541,0.0946,0.18989999999999999,0.136,0.84,0.53,0.42,0.47,0.3077,0.2937,0.1977,May 08/b,30.92,0.0033,1569833.0
COF,118580000000.0,0.013300000000000001,0.0098,0.079,0.0436,1.86,,0.65,0.66,,0.10300000000000001,0.0848,Apr 22/a,185.24,-0.0176,1948513.0
COHR,12100000000.0,,0.0067,0.0125,-0.0027,2.47,1.54,0.5,0.5,0.3558,0.0987,-0.005699999999999999,May 07/a,77.84,-0.0132,1093567.0
COIN,67480000000.00001,,0.0079,0.1583,0.0992,,,0.41,0.44,0.8073999999999999,0.2328,0.21230000000000002,May 08/a,264.93,-0.0258,6602069.0
