Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
CDW,23970000000.0,22.56,17.57,3.5,1.12,10.32,34.83,23.86,0.023799999999999998,0.06280000000000001,0.0984,0.0644,0.0349,182.0,-0.0075,644669.0
CEG,94290000000.0,31.71,27.29,2.99,3.85,7.28,48.55,,0.083,0.1741,0.2815,0.106,0.0542,300.85,0.0322,3013403.0
CF,14430000000.0,11.75,14.34,,2.35,3.07,10.26,7.75,0.0855,-0.1258,0.2482,-0.016200000000000003,0.1365,89.08,0.0019,487852.0
CFG,17190000000.0,12.62,8.05,0.47,1.41,0.76,,15.51,0.2305,0.32,-0.045,0.2659,0.10099999999999999,39.63,-0.0034000000000000002,1640605.0
CG,16000000000.0,14.97,9.5,1.23,2.81,2.87,9.04,11.12,0.0934,0.16570000000000001,-0.0031,0.122,0.4021,44.31,-0.0028000000000000004,1123172.0
CHD,23630000000.0,41.16,25.72,8.59,3.89,5.19,21.99,25.43,0.0104,0.0731,-0.006,0.0479,0.0703,95.93,0.0076,822853.0
CHRW,11400000000.0,22.93,17.55,2.67,0.66,6.58,87.71,18.05,0.042,0.1637,-0.0163,0.0859,0.0546,96.0,-0.0054,359837.0
CHTR,114560000000.0,11.32,9.36,0.83,2.08,3.53,132.28,25.03,0.0683,0.16760000000000003,0.36229999999999996,0.13699999999999998,0.0381,408.07,-0.0045000000000000005,538684.0
CHWY,18100000000.0,48.65,57.31,10.33,1.53,69.21,30.33,40.0,-0.445,0.5115999999999999,,0.0471,0.2045,43.75,-0.004,3204600.0
CI,83810000000.0,17.38,9.48,1.63,0.33,2.11,,13.95,0.0857,0.11539999999999999,-0.0204,0.1069,0.0998,313.73,0.0034000000000000002,865818.0
CIEN,11370000000.0,148.19,23.63,4.46,2.81,4.08,9.38,55.44,0.39390000000000003,0.3343,-0.1858,0.3322,0.027999999999999997,80.0,-0.0016,289787.0
CL,74820000000.0,26.14,23.53,4.77,3.75,206.11,57.07,21.58,0.0159,0.0728,0.0501,0.0548,0.0509,92.32,0.015600000000000001,3372284.0
CLS,13870000000.0,33.71,19.9,1.47,1.38,8.96,45.79,42.99,0.2977,0.2043,0.46520000000000006,0.2286,0.1106,120.66,0.019799999999999998,1997918.0
CLX,16100000000.000002,23.46,19.15,4.14,2.29,596.34,71.24,20.1,0.1418,-0.0318,-0.187,0.056600000000000004,0.028300000000000002,130.63,-0.002,524026.0
CM,64160000000.0,12.23,11.27,1.75,1.38,1.66,,10.27,0.0781,0.0652,0.048799999999999996,0.0701,0.2025,68.25,0.0194,425877.0
CMCSA,129199999999.99998,8.5,7.43,1.63,1.05,1.5,14.99,7.92,-0.0089,0.08449999999999999,0.079,0.052000000000000005,0.0273,34.6,0.0004,5292955.0
CME,102800000000.0,28.68,24.59,4.34,16.36,3.8,67.39,26.87,0.0863,0.041100000000000005,0.1036,0.0661,0.0483,285.28,0.0116,900723.0
CMG,68160000000.0,44.45,35.22,2.95,5.93,19.56,48.18,45.83,0.0851,0.1819,0.35109999999999997,0.1507,0.1532,50.58,-0.0038,4344376.0
CMS,20820000000.0,20.59,18.03,2.71,2.67,2.57,39.58,,0.0748,0.07519999999999999,0.0684,0.0759,0.0255,69.6,0.0034000000000000002,683116.0
CNC,27920000000.0,8.35,7.01,0.97,0.16,1.0,,18.71,0.0175,0.0973,0.1496,0.0864,0.1788,56.11,-0.0338,2762856.0
CNH,15990000000.0,15.4,14.41,4.94,0.85,2.04,6.67,9.0,-0.4073,0.42710000000000004,-0.012,0.031200000000000002,-0.0527,12.8,-0.0126,10453505.0
CNI,66280000000.0,20.58,16.99,2.05,5.36,4.41,390.94,28.8,0.0944,0.10890000000000001,0.0301,0.1003,0.024399999999999998,105.62,-0.005699999999999999,436413.0
CNM,10460000000.0,24.94,19.06,3.24,1.41,5.93,1308.06,17.86,0.1356,0.151,0.5259,0.07690000000000001,0.17920000000000003,53.06,-0.0033,263608.0
CNP,24430000000.0,25.17,19.9,3.15,2.73,2.23,12.87,,0.0794,0.0757,0.0347,0.08,0.0358,37.44,0.0079,923531.0
CNQ,64890000000.0,12.08,12.72,1.21,2.36,2.31,1004.22,9.96,0.0409,-0.0374,0.0412,0.0999,0.1573,30.91,0.003,1566046.0
COF,118590000000.0,15.56,9.92,1.11,2.2,1.12,,6.41,0.12,0.195,0.0096,0.1402,0.1045,185.26,-0.0175,1938462.0
